Date,Station Name,Type,Latitude,Longitude,System,Private Partner,Public Partner,Borough,Census Tract,Phase,Data Collected,Average Radius of Connection (ft),year
2018-05-16,1961 ARTHUR AVENUE,Outdoor Wifi Kiosk,40.84652245,-73.89339767,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2037504,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2022-10-06,105 EAST 198 STREET,Outdoor Wifi Kiosk,40.8706129,-73.8916481,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040303,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2022
2021-12-09,3037 WEBSTER AVENUE,Outdoor Wifi Kiosk,40.8699055,-73.8792791,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2042500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2021-12-08,9 WEST 183 STREET,Outdoor Wifi Kiosk,40.8585715,-73.9043559,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2023900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2017-02-17,2408 UNIVERSITY AVENUE,Outdoor Wifi Kiosk,40.86311405,-73.90457508,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2021-12-09,266 EAST 205 STREET,Outdoor Wifi Kiosk,40.8737327,-73.879019,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2042500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2018-04-18,2415 JEROME AVENUE,Outdoor Wifi Kiosk,40.86176218,-73.90196472,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2025300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2016-08-12,48 WEST FORDHAM ROAD,Outdoor Wifi Kiosk,40.86264365,-73.90324404,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2025300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2022-02-27,151 EAST FORDHAM Road,Outdoor Wifi Kiosk,40.8624494,-73.8981273,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2022
2024-05-15,3500 JEROME AVENUE,Outdoor Wifi Kiosk,40.8827861,-73.8810142,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2043100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2024
2024-07-28,159 EAST GUN HILL ROAD,Outdoor Wifi Kiosk,40.8810827,-73.8782824,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2042100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2024
2021-11-29,3159 BAINBRIDGE AVENUE,Outdoor Wifi Kiosk,40.8749145,-73.8796393,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2041900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2024-05-14,269 EAST GUN HILL ROAD,Outdoor Wifi Kiosk,40.8797606,-73.8755175,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2043100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2024
2024-05-14,349 EAST GUN HILL ROAD,Outdoor Wifi Kiosk,40.8788455,-73.8726646,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2043100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2024
2021-12-08,359 EAST 204 STREET,Outdoor Wifi Kiosk,40.8717955,-73.8773562,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2042500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2021-11-18,319 EAST 204 STREET,Outdoor Wifi Kiosk,40.8725809,-73.8780848,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2042500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2021-12-09,300 EAST 204 STREET,Outdoor Wifi Kiosk,40.8729442,-73.8786393,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2042500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2022-02-20,378 BEDFORD PARK BOULEVARD,Outdoor Wifi Kiosk,40.8678557,-73.8842536,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040702,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2022
2022-06-28,3177 WEBSTER AVENUE,Outdoor Wifi Kiosk,40.8727297,-73.875333,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2042500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2022
2021-12-08,247 EAST 198 STREET,Outdoor Wifi Kiosk,40.8691842,-73.8892133,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040702,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2021-11-18,326 EAST 194 STREET,Outdoor Wifi Kiosk,40.8640937,-73.8914407,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2039901,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2017-01-24,2 EAST KINGSBRIDGE ROAD,Outdoor Wifi Kiosk,40.86732884,-73.89719293,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2021-11-28,29 BEDFORD PARK BOULEVARD EAST,Outdoor Wifi Kiosk,40.8730101,-73.8885411,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2041100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2016-06-30,2663 JEROME AVENUE,Outdoor Wifi Kiosk,40.86737055,-73.89764488,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2022-11-04,2734 JEROME AVENUE,Outdoor Wifi Kiosk,40.8690803,-73.8959998,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2022
2017-02-17,95 WEST FORDHAM ROAD,Outdoor Wifi Kiosk,40.86285548,-73.90454701,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-08-26,385 EAST FORDHAM ROAD,Outdoor Wifi Kiosk,40.86199332,-73.89182996,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2039901,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-12-05,319 EAST KINGSBRIDGE ROAD,Outdoor Wifi Kiosk,40.86234731,-73.8938944,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2039901,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-06-08,26 WEST KINGSBRIDGE ROAD,Outdoor Wifi Kiosk,40.867627,-73.89873,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-06-30,56 WEST KINGSBRIDGE ROAD,Outdoor Wifi Kiosk,40.86782871,-73.8995757,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2022-06-30,2565 GRAND CONCOURSE,Outdoor Wifi Kiosk,40.8643262,-73.8961845,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2022
2021-11-18,3197 BAINBRIDGE AVENUE,Outdoor Wifi Kiosk,40.8757421,-73.8796537,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2041900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2021
2017-04-06,2338 LORING PLACE NORTH,Outdoor Wifi Kiosk,40.862685,-73.907548,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2025500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-08-26,60 EAST KINGSBRIDGE ROAD,Outdoor Wifi Kiosk,40.86658827,-73.89565372,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-08-26,30 EAST KINGSBRIDGE ROAD,Outdoor Wifi Kiosk,40.867038,-73.896537,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2017-05-09,2495 JEROME AVENUE,Outdoor Wifi Kiosk,40.86366546,-73.90051187,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2017-06-23,2620 BRIGGS AVENUE,Outdoor Wifi Kiosk,40.86487,-73.8928,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2039901,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2017-09-15,82 WEST KINGSBRIDGE ROAD,Outdoor Wifi Kiosk,40.86810029,-73.90070588,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2017-09-15,2616 JEROME AVENUE,Outdoor Wifi Kiosk,40.86676519,-73.89780278,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2022-06-28,2861 WEBSTER AVENUE,Outdoor Wifi Kiosk,40.8669715,-73.8843348,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2040702,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2022
2023-07-26,2571 WEBSTER AVENUE,Outdoor Wifi Kiosk,40.8625706,-73.8903695,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,BX-397,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2023
2017-06-09,119 WEST KINGSBRIDGE ROAD,Outdoor Wifi Kiosk,40.86869849,-73.9021009,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,2026701,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2024-02-22,1331 HERSCHELL STREET,Outdoor Wifi Kiosk,40.8366002,-73.8443608,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,bx-96,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2024
2024-02-21,2365 WATERBURY AVENUE,Outdoor Wifi Kiosk,40.8349727,-73.8456956,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,bx-96,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2024
2024-06-17,600 ADEE AVENUE,Outdoor Wifi Kiosk,40.8696016,-73.8703057,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Bronx,bx-336,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2024
2018-06-19,183 CHURCH STREET,Outdoor Wifi Kiosk,40.7157269,-74.00718506,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2017-11-17,23 WALKER STREET,Outdoor Wifi Kiosk,40.719679,-74.004974,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2018-04-18,249 CHURCH STREET,Outdoor Wifi Kiosk,40.71772575,-74.00560969,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-08-01,67 READE STREET,Outdoor Wifi Kiosk,40.71502742,-74.00677204,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1002100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-04-18,250 CHURCH STREET,Outdoor Wifi Kiosk,40.71780497,-74.00581491,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-07-31,30 VARICK STREET,Outdoor Wifi Kiosk,40.72056775,-74.0065562,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2016-08-10,106 LAFAYETTE STREET,Outdoor Wifi Kiosk,40.7180331,-74.00101556,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2018-03-02,227 CHURCH STREET,Outdoor Wifi Kiosk,40.71693937,-74.00622249,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2017-11-10,55 WATER STREET,Outdoor Wifi Kiosk,40.70331108,-74.00998457,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1000900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2018-05-23,70 CHAMBERS STREET,Outdoor Wifi Kiosk,40.71420865,-74.0065117,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1002100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-07-31,317 BROADWAY,Outdoor Wifi Kiosk,40.715712,-74.005126,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2016-07-11,45 LAFAYETTE STREET,Outdoor Wifi Kiosk,40.716033,-74.00257,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2018-07-30,50 VARICK STREET,Outdoor Wifi Kiosk,40.72098349,-74.00648828,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2017-11-10,95 WALL STREET,Outdoor Wifi Kiosk,40.70504418,-74.00732188,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1000700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2017-11-10,55 WATER STREET,Outdoor Wifi Kiosk,40.7039098,-74.00908241,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1000900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2017-08-04,195 HUDSON STREET,Outdoor Wifi Kiosk,40.72311759,-74.00813878,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-07-31,101 LAFAYETTE STREET,Outdoor Wifi Kiosk,40.717828,-74.000962,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-07-12,80 LAFAYETTE STREET,Outdoor Wifi Kiosk,40.71724104,-74.00173929,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-10-18,125 WORTH STREET,Outdoor Wifi Kiosk,40.71548409,-74.00266673,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-07-11,90 LAFAYETTE STREET,Outdoor Wifi Kiosk,40.71748211,-74.00151938,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2017-10-06,60 LAFAYETTE STREET,Outdoor Wifi Kiosk,40.716682,-74.002253,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2017-08-04,201 HUDSON STREET,Outdoor Wifi Kiosk,40.72340371,-74.00808439,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2017-08-04,200 HUDSON STREET,Outdoor Wifi Kiosk,40.72287042,-74.00797977,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-07-11,178 BOWERY,Outdoor Wifi Kiosk,40.72059636,-73.99407509,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1004100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2018-02-03,628 HUDSON STREET,Outdoor Wifi Kiosk,40.73835105,-74.00546559,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-03-09,425 6 AVENUE,Outdoor Wifi Kiosk,40.73439251,-73.99915159,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-04-13,347 6 AVENUE,Outdoor Wifi Kiosk,40.73188717,-74.00119407,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-03-09,375 6 AVENUE,Outdoor Wifi Kiosk,40.73288433,-74.00023841,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-03-18,70 WEST 13 STREET,Outdoor Wifi Kiosk,40.73653988,-73.99715554,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1006300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-05-11,221 HUDSON STREET,Outdoor Wifi Kiosk,40.724065,-74.007972,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2017-03-17,241 CANAL STREET,Outdoor Wifi Kiosk,40.71819776,-74.000048,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1004500,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2018-05-23,203 GRAND STREET,Outdoor Wifi Kiosk,40.71903975,-73.99663087,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1004100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2016-10-14,799 BROADWAY,Outdoor Wifi Kiosk,40.73239147,-73.99138693,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1006100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2018-03-09,263 6 AVENUE,Outdoor Wifi Kiosk,40.7295577,-74.00238535,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1006700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-03-09,475 6 AVENUE,Outdoor Wifi Kiosk,40.73598356,-73.99799012,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-03-03,41 HORATIO STREET,Outdoor Wifi Kiosk,40.73879783,-74.00528546,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2016-09-17,220 WEST 14 STREET,Outdoor Wifi Kiosk,40.73899661,-74.0009461,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-03-10,75 8 AVENUE,Outdoor Wifi Kiosk,40.73967748,-74.00273531,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-09-30,18 WEST 14 STREET,Outdoor Wifi Kiosk,40.736387,-73.994742,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1006300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-09-16,120 WEST 14 STREET,Outdoor Wifi Kiosk,40.737805,-73.998106,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2018-04-13,201 6 AVENUE,Outdoor Wifi Kiosk,40.72711527,-74.00350218,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-08-06,623 HUDSON STREET,Outdoor Wifi Kiosk,40.73827778,-74.00567121,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-07-30,118 VARICK STREET,Outdoor Wifi Kiosk,40.72492489,-74.00579536,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-07-30,180 VARICK STREET,Outdoor Wifi Kiosk,40.72728365,-74.00540707,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-07-30,56 KING STREET,Outdoor Wifi Kiosk,40.72780341,-74.00523226,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2016-11-16,284 HUDSON STREET,Outdoor Wifi Kiosk,40.72533498,-74.00755377,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-11-12,1 ST. LUKE'S PLACE,Outdoor Wifi Kiosk,40.73025769,-74.00662855,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1006700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2017-03-10,98 KING STREET,Outdoor Wifi Kiosk,40.72797798,-74.00698658,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-11-04,482 HUDSON STREET,Outdoor Wifi Kiosk,40.73230778,-74.00641536,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2017-02-17,87 BARROW STREET,Outdoor Wifi Kiosk,40.73159252,-74.00640751,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1006700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2018-08-05,50 GROVE STREET,Outdoor Wifi Kiosk,40.73290856,-74.00387699,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007300,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2017-11-03,268 GREENE STREET,Outdoor Wifi Kiosk,40.73116016,-73.99407922,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1005900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-03-10,74 8 AVENUE,Outdoor Wifi Kiosk,40.73944747,-74.00259998,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1007700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2018-08-06,399 WEST BROADWAY,Outdoor Wifi Kiosk,40.72433792,-74.00202234,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1004700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2018-08-01,431 CANAL STREET,Outdoor Wifi Kiosk,40.72301338,-74.006770650000007,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2016-09-13,183 CANAL STREET,Outdoor Wifi Kiosk,40.716869,-73.997578,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1004100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-10-28,835 BROADWAY,Outdoor Wifi Kiosk,40.73389175,-73.99105603,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1006100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-10-14,62 EAST 13 STREET,Outdoor Wifi Kiosk,40.734036,-73.991208,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1006100,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2017-01-27,325 HUDSON STREET,Outdoor Wifi Kiosk,40.726889,-74.007487,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2018-07-31,260 SPRING STREET,Outdoor Wifi Kiosk,40.725666,-74.00627426,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003700,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2018
2016-07-21,211 BOWERY,Outdoor Wifi Kiosk,40.721425,-73.993454,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1001800,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2023-04-26,30 CLINTON STREET,Outdoor Wifi Kiosk,40.7203916,-73.9843396,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1002201,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2023
2016-11-11,121 2 AVENUE,Outdoor Wifi Kiosk,40.72815774,-73.98812504,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003800,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-10-15,18 DELANCEY STREET,Outdoor Wifi Kiosk,40.72018834,-73.99306771,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1001800,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2017-06-09,208 1 AVENUE,Outdoor Wifi Kiosk,40.73030035,-73.98319263,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003400,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-10-18,210 CANAL STREET,Outdoor Wifi Kiosk,40.71716821,-73.99907941,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1002900,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-07-21,217 BOWERY,Outdoor Wifi Kiosk,40.721716,-73.993343,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003601,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2017-04-01,145 1 AVENUE,Outdoor Wifi Kiosk,40.728126,-73.985083,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003800,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-09-01,73 2 AVENUE,Outdoor Wifi Kiosk,40.72647126,-73.98935062,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003800,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2016-08-10,113 BOWERY,Outdoor Wifi Kiosk,40.71791958,-73.99494009,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1001600,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
2017-09-15,35 ST. MARKS PLACE,Outdoor Wifi Kiosk,40.72875565,-73.98791444,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003800,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2017-04-07,133 1 AVENUE,Outdoor Wifi Kiosk,40.72779351,-73.98532503,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1003800,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2017
2016-07-11,169 BOWERY,Outdoor Wifi Kiosk,40.71990707,-73.99406649,LinkNYC,CityBridge,Office of Technology and Innovation (OTI),Manhattan,1001800,NA,"Name, Email, Unique Device Identifiers, Device Movements",150,2016
